PRES,TEMP,,PSAL,,VRS_PH,,PH_IN_SITU_F REE,,PH_IN_SITU_T OTAL,
1598.78,2.9225,,34.5006,,-0.922691,,7.9088,,7.8673,
1498.61,3.1302,,34.4472,,-0.92211,,7.9112,,7.869,
1398.77,3.3575,,34.401,,-0.921226,,7.919,,7.8761,
1299.25,3.6987,,34.3625,,-0.920056,,7.9307,,7.8869,
1198.84,4.2011,,34.3332,,-0.918651,,7.9446,,7.8994,
1099.64,4.7072,,34.3171,,-0.91705,,7.9614,,7.9149,
999.36,5.2709,,34.3106,,-0.915267,,7.98,,7.932,
951.66,5.5806,,34.3132,,-0.91426,,7.9908,,7.942,
900.56,5.8022,,34.313,,-0.913091,,8.0049,,7.9554,
850.87,6.0924,,34.3179,,-0.912048,,8.0157,,7.9654,
801.08,6.3237,,34.3277,,-0.911117,,8.0249,,7.974,
749.16,6.5121,,34.3376,,-0.910301,,8.0319,,7.9804,
701.59,6.7193,,34.3521,,-0.909649,,8.0359,,7.9838,
650.81,6.8914,,34.3651,,-0.908942,,8.0406,,7.9879,
601.52,7.0795,,34.3806,,-0.908317,,8.0436,,7.9903,
550.92,7.2701,,34.3966,,-0.907575,,8.0483,,7.9943,
501.11,7.484,,34.4152,,-0.906749,,8.0542,,7.9995,
51.06,15.5472,,34.5643,,-0.892025,,8.1754,,8.098,
46.07,15.5544,,34.5642,,-0.891988,,8.1759,,8.0985,
41.1,15.5561,,34.5638,,-0.891948,,8.1766,,8.0991,
36.36,15.5614,,34.565,,-0.891946,,8.1766,,8.0991,
31.69,15.5588,,34.5649,,-0.891897,,8.1776,,8.1,
26.39,15.5584,,34.565,,-0.89186,,8.1783,,8.1007,
21.84,15.5577,,34.5644,,-0.891712,,8.181,,8.1034,
16.34,15.5569,,34.5648,,-0.891747,,8.1805,,8.1028,
11.8,15.5592,,34.5658,,-0.891667,,8.182,,8.1043,
7.62,15.5588,,34.5662,,-0.891637,,8.1826,,8.105,
